seed,other
237,0.123487266903499
415,0.0914992763951976
8180,0.0772884624678538
9251,0.059064865845602
9147,0.0521321328023324
488,0.0639591429067867
2959,-0.0401973437774017
2599,0.0295789871419733
4429,0.058937882136963
5443,0.0100854240948823
7169,0.0787424097853728
6348,-0.0277462997236008
7298,-0.00333208113505288
7013,-0.00225700460950607
473,-0.0290188346789682
7479,0.0661252189050791
2642,0.086545269935071
620,0.0961381938283994
4807,0.0295910652020259
6700,0.146237102096981
5749,0.0224179180203186
1681,0.0748273262556916
7711,0.0932090174757824
3705,0.104095148715154
3085,0.00864386946363261
9143,0.0689273472524991
5582,0.0887313509315097
4053,0.0263201148122732
9594,0.145942931565597
7246,0.0848902689012617
4954,0.0282858405494769
2595,0.0657901014814388
944,0.0592231763520918
2213,0.0889990225400749
468,0.047479456940304
6550,0.123666789373722
3514,0.0235873613591344
5022,0.0721352447763472
3085,0.00864386946363261
9143,0.0689273472524991
5582,0.0887313509315097
4053,0.0263201148122732
9594,0.145942931565597
7246,0.0848902689012617
4954,0.0282858405494769
2595,0.0657901014814388
944,0.0592231763520918
2213,0.0889990225400749
468,0.047479456940304
6550,0.123666789373722
3514,0.0235873613591344
5022,0.0721352447763472
231,0.0231737771980779
106,-0.00158567575797262
1050,0.060740857797284
237,0.123487266903499
415,0.0914992763951976
8180,0.0772884624678538
9251,0.059064865845602
9147,0.0521321328023324
488,0.0639591429067867
2959,-0.0401973437774017
2599,0.0295789871419733
4429,0.058937882136963
5443,0.0100854240948823
7169,0.0787424097853728
6348,-0.0277462997236008
7298,-0.00333208113505288
7013,-0.00225700460950607
473,-0.0290188346789682
7479,0.0661252189050791
2642,0.086545269935071
620,0.0961381938283994
4807,0.0295910652020259
6700,0.146237102096981
5749,0.0224179180203186
1681,0.0748273262556916
7711,0.0932090174757824
3705,0.104095148715154
3085,0.00864386946363261
9143,0.0689273472524991
5582,0.0887313509315097
4053,0.0263201148122732
9594,0.145942931565597
7246,0.0848902689012617
4954,0.0282858405494769
2595,0.0657901014814388
944,0.0592231763520918
2213,0.0889990225400749
468,0.047479456940304
6550,0.123666789373722
3514,0.0235873613591344
5022,0.0721352447763472
231,0.0231737771980779
106,-0.00158567575797262
1050,0.060740857797284
237,0.123487266903499
8180,0.0772884624678538
9251,0.059064865845602
9147,0.0521321328023324
488,0.0639591429067867
2959,-0.0401973437774017
2599,0.0295789871419733
4429,0.058937882136963
5443,0.0100854240948823
7169,0.0787424097853728
6348,-0.0277462997236008
7298,-0.00333208113505288
7013,-0.00225700460950607
473,-0.0290188346789682
7479,0.0661252189050791
2642,0.086545269935071
620,0.0961381938283994
4807,0.0295910652020259
6700,0.146237102096981
5749,0.0224179180203186
1681,0.0748273262556916
7711,0.0932090174757824
3705,0.104095148715154
3085,0.00864386946363261
9143,0.0689273472524991
5582,0.0887313509315097
4053,0.0263201148122732
9594,0.145942931565597
7246,0.0848902689012617
4954,0.0282858405494769
2595,0.0657901014814388
944,0.0592231763520918
2213,0.0889990225400749
468,0.047479456940304
6550,0.123666789373722
3514,0.0235873613591344
5022,0.0721352447763472
231,0.0231737771980779
106,-0.00158567575797262
1050,0.060740857797284
237,0.123487266903499
415,0.0914992763951976
8180,0.0772884624678538
9251,0.059064865845602
9147,0.0521321328023324
488,0.0639591429067867
2959,-0.0401973437774017
2599,0.0295789871419733
4429,0.058937882136963
5443,0.0100854240948823
7169,0.0787424097853728
6348,-0.0277462997236008
7298,-0.00333208113505288
7013,-0.00225700460950607
473,-0.0290188346789682
7479,0.0661252189050791
2642,0.086545269935071
620,0.0961381938283994
4807,0.0295910652020259
6700,0.146237102096981
2595,0.0657901014814388
944,0.0592231763520918
2213,0.0889990225400749
468,0.047479456940304
6550,0.123666789373722
3514,0.0235873613591344
5022,0.0721352447763472
231,0.0231737771980779
106,-0.00158567575797262
1050,0.060740857797284
237,0.123487266903499
415,0.0914992763951976
8180,0.0772884624678538
9251,0.059064865845602
9147,0.0521321328023324
488,0.0639591429067867
2959,-0.0401973437774017
2599,0.0295789871419733
4429,0.058937882136963
5443,0.0100854240948823
7169,0.0787424097853728
6348,-0.0277462997236008
7298,-0.00333208113505288
7013,-0.00225700460950607
473,-0.0290188346789682
7479,0.0661252189050791
2642,0.086545269935071
620,0.0961381938283994
4807,0.0295910652020259
6700,0.146237102096981
5749,0.0224179180203186
1681,0.0748273262556916
7711,0.0932090174757824
3705,0.104095148715154
3085,0.00864386946363261
9143,0.0689273472524991
5582,0.0887313509315097
4053,0.0263201148122732
9594,0.145942931565597
7246,0.0848902689012617
4954,0.0282858405494769
2595,0.0657901014814388
944,0.0592231763520918
2213,0.0889990225400749
468,0.047479456940304
6550,0.123666789373722
3514,0.0235873613591344
5022,0.0721352447763472
231,0.0231737771980779
106,-0.00158567575797262
1050,0.060740857797284
237,0.123487266903499
415,0.0914992763951976
8180,0.0772884624678538
9251,0.059064865845602
9147,0.0521321328023324
488,0.0639591429067867
2959,-0.0401973437774017
2599,0.0295789871419733
6348,-0.0277462997236008
7298,-0.00333208113505288
7013,-0.00225700460950607
473,-0.0290188346789682
7479,0.0661252189050791
2642,0.086545269935071
620,0.0961381938283994
4807,0.0295910652020259
6700,0.146237102096981
5749,0.0224179180203186
1681,0.0748273262556916
7711,0.0932090174757824
3705,0.104095148715154
3085,0.00864386946363261
9143,0.0689273472524991
5582,0.0887313509315097
4053,0.0263201148122732
9594,0.145942931565597
7246,0.0848902689012617
4954,0.0282858405494769
2595,0.0657901014814388
944,0.0592231763520918
2213,0.0889990225400749
468,0.047479456940304
6550,0.123666789373722
3514,0.0235873613591344
5022,0.0721352447763472
231,0.0231737771980779
106,-0.00158567575797262
1050,0.060740857797284
237,0.123487266903499
415,0.0914992763951976
8180,0.0772884624678538
9251,0.059064865845602
9147,0.0521321328023324
488,0.0639591429067867
2959,-0.0401973437774017
2599,0.0295789871419733
4429,0.058937882136963
5443,0.0100854240948823
7169,0.0787424097853728
6348,-0.0277462997236008
7298,-0.00333208113505288
7013,-0.00225700460950607
473,-0.0290188346789682
7479,0.0661252189050791
2642,0.086545269935071
620,0.0961381938283994
4807,0.0295910652020259
6700,0.146237102096981
5749,0.0224179180203186
1681,0.0748273262556916
7711,0.0932090174757824
3705,0.104095148715154
3085,0.00864386946363261
9143,0.0689273472524991
5582,0.0887313509315097
4053,0.0263201148122732
9594,0.145942931565597
237,0.123487266903499
415,0.0914992763951976
8180,0.0772884624678538
9251,0.059064865845602
9147,0.0521321328023324
488,0.0639591429067867
2959,-0.0401973437774017
2599,0.0295789871419733
4429,0.058937882136963
5443,0.0100854240948823
7169,0.0787424097853728
6348,-0.0277462997236008
7298,-0.00333208113505288
7013,-0.00225700460950607
473,-0.0290188346789682
7479,0.0661252189050791
2642,0.086545269935071
620,0.0961381938283994
4807,0.0295910652020259
6700,0.146237102096981
5749,0.0224179180203186
1681,0.0748273262556916
7711,0.0932090174757824
3705,0.104095148715154
3085,0.00864386946363261
9143,0.0689273472524991
5582,0.0887313509315097
4053,0.0263201148122732
9594,0.145942931565597
7246,0.0848902689012617
4954,0.0282858405494769
2595,0.0657901014814388
944,0.0592231763520918
2213,0.0889990225400749
468,0.047479456940304
6550,0.123666789373722
3514,0.0235873613591344
5022,0.0721352447763472
231,0.0231737771980779
106,-0.00158567575797262
1050,0.060740857797284
237,0.123487266903499
415,0.0914992763951976
8180,0.0772884624678538
9251,0.059064865845602
9147,0.0521321328023324
488,0.0639591429067867
2959,-0.0401973437774017
2599,0.0295789871419733
4429,0.058937882136963
5443,0.0100854240948823
7169,0.0787424097853728
6348,-0.0277462997236008
7298,-0.00333208113505288
7013,-0.00225700460950607
473,-0.0290188346789682
7479,0.0661252189050791
2642,0.086545269935071
620,0.0961381938283994
6550,0.123666789373722
3514,0.0235873613591344
5022,0.0721352447763472
231,0.0231737771980779
106,-0.00158567575797262
1050,0.060740857797284
237,0.123487266903499
415,0.0914992763951976
8180,0.0772884624678538
9251,0.059064865845602
9147,0.0521321328023324
488,0.0639591429067867
2959,-0.0401973437774017
2599,0.0295789871419733
4429,0.058937882136963
5443,0.0100854240948823
7169,0.0787424097853728
6348,-0.0277462997236008
7298,-0.00333208113505288
7013,-0.00225700460950607
473,-0.0290188346789682
7479,0.0661252189050791
2642,0.086545269935071
620,0.0961381938283994
4807,0.0295910652020259
6700,0.146237102096981
5749,0.0224179180203186
1681,0.0748273262556916
7711,0.0932090174757824
3705,0.104095148715154
3085,0.00864386946363261
9143,0.0689273472524991
5582,0.0887313509315097
4053,0.0263201148122732
9594,0.145942931565597
7246,0.0848902689012617
4954,0.0282858405494769
2595,0.0657901014814388
944,0.0592231763520918
2213,0.0889990225400749
468,0.047479456940304
6550,0.123666789373722
3514,0.0235873613591344
5022,0.0721352447763472
231,0.0231737771980779
106,-0.00158567575797262
1050,0.060740857797284
237,0.123487266903499
415,0.0914992763951976
8180,0.0772884624678538
9251,0.059064865845602
9147,0.0521321328023324
488,0.0639591429067867
2959,-0.0401973437774017
2599,0.0295789871419733
4429,0.058937882136963
5443,0.0100854240948823
7169,0.0787424097853728
6348,-0.0277462997236008
8180,0.0772884624678538
9251,0.059064865845602
9147,0.0521321328023324
488,0.0639591429067867
2959,-0.0401973437774017
2599,0.0295789871419733
4429,0.058937882136963
5443,0.0100854240948823
7169,0.0787424097853728
6348,-0.0277462997236008
7298,-0.00333208113505288
7013,-0.00225700460950607
473,-0.0290188346789682
7479,0.0661252189050791
2642,0.086545269935071
620,0.0961381938283994
4807,0.0295910652020259
6700,0.146237102096981
5749,0.0224179180203186
1681,0.0748273262556916
7711,0.0932090174757824
3705,0.104095148715154
3085,0.00864386946363261
9143,0.0689273472524991
5582,0.0887313509315097
4053,0.0263201148122732
9594,0.145942931565597
7246,0.0848902689012617
4954,0.0282858405494769
2595,0.0657901014814388
2595,0.0657901014814388
944,0.0592231763520918
2213,0.0889990225400749
468,0.047479456940304
6550,0.123666789373722
3514,0.0235873613591344
5022,0.0721352447763472
231,0.0231737771980779
106,-0.00158567575797262
1050,0.060740857797284
237,0.123487266903499
415,0.0914992763951976
8180,0.0772884624678538
9251,0.059064865845602
9147,0.0521321328023324
488,0.0639591429067867
2959,-0.0401973437774017
2599,0.0295789871419733
4429,0.058937882136963
5443,0.0100854240948823
7169,0.0787424097853728
6348,-0.0277462997236008
7298,-0.00333208113505288
7013,-0.00225700460950607
473,-0.0290188346789682
7479,0.0661252189050791
2642,0.086545269935071
620,0.0961381938283994
4807,0.0295910652020259
6700,0.146237102096981
6550,0.123666789373722
3514,0.0235873613591344
5022,0.0721352447763472
231,0.0231737771980779
106,-0.00158567575797262
1050,0.060740857797284
237,0.123487266903499
415,0.0914992763951976
8180,0.0772884624678538
9251,0.059064865845602
9147,0.0521321328023324
488,0.0639591429067867
2959,-0.0401973437774017
2599,0.0295789871419733
4429,0.058937882136963
5443,0.0100854240948823
7169,0.0787424097853728
6348,-0.0277462997236008
7298,-0.00333208113505288
7013,-0.00225700460950607
473,-0.0290188346789682
7479,0.0661252189050791
2642,0.086545269935071
620,0.0961381938283994
4807,0.0295910652020259
6700,0.146237102096981
5749,0.0224179180203186
1681,0.0748273262556916
7711,0.0932090174757824
3705,0.104095148715154
7013,-0.00225700460950607
473,-0.0290188346789682
7479,0.0661252189050791
2642,0.086545269935071
620,0.0961381938283994
4807,0.0295910652020259
6700,0.146237102096981
5749,0.0224179180203186
1681,0.0748273262556916
7711,0.0932090174757824
3705,0.104095148715154
3085,0.00864386946363261
9143,0.0689273472524991
5582,0.0887313509315097
4053,0.0263201148122732
9594,0.145942931565597
7246,0.0848902689012617
4954,0.0282858405494769
2595,0.0657901014814388
944,0.0592231763520918
2213,0.0889990225400749
468,0.047479456940304
6550,0.123666789373722
3514,0.0235873613591344
5022,0.0721352447763472
231,0.0231737771980779
106,-0.00158567575797262
1050,0.060740857797284
237,0.123487266903499
415,0.0914992763951976
7711,0.0932090174757824
3705,0.104095148715154
3085,0.00864386946363261
9143,0.0689273472524991
5582,0.0887313509315097
4053,0.0263201148122732
9594,0.145942931565597
7246,0.0848902689012617
4954,0.0282858405494769
2595,0.0657901014814388
944,0.0592231763520918
2213,0.0889990225400749
468,0.047479456940304
6550,0.123666789373722
3514,0.0235873613591344
5022,0.0721352447763472
231,0.0231737771980779
106,-0.00158567575797262
1050,0.060740857797284
237,0.123487266903499
415,0.0914992763951976
8180,0.0772884624678538
9251,0.059064865845602
9147,0.0521321328023324
488,0.0639591429067867
2959,-0.0401973437774017
2599,0.0295789871419733
4429,0.058937882136963
5443,0.0100854240948823
7169,0.0787424097853728
6348,-0.0277462997236008
7298,-0.00333208113505288
7013,-0.00225700460950607
473,-0.0290188346789682
7479,0.0661252189050791
2642,0.086545269935071
620,0.0961381938283994
4807,0.0295910652020259
6700,0.146237102096981
5749,0.0224179180203186
1681,0.0748273262556916
7711,0.0932090174757824
3705,0.104095148715154
3085,0.00864386946363261
9143,0.0689273472524991
5582,0.0887313509315097
4053,0.0263201148122732
9594,0.145942931565597
7246,0.0848902689012617
4954,0.0282858405494769
2595,0.0657901014814388
944,0.0592231763520918
2213,0.0889990225400749
468,0.047479456940304
6550,0.123666789373722
3514,0.0235873613591344
5022,0.0721352447763472
231,0.0231737771980779
106,-0.00158567575797262
1050,0.060740857797284
415,0.0914992763951976
8180,0.0772884624678538
9251,0.059064865845602
9147,0.0521321328023324
488,0.0639591429067867
2959,-0.0401973437774017
2599,0.0295789871419733
4429,0.058937882136963
5443,0.0100854240948823
7169,0.0787424097853728
6348,-0.0277462997236008
7298,-0.00333208113505288
7013,-0.00225700460950607
473,-0.0290188346789682
7479,0.0661252189050791
2642,0.086545269935071
620,0.0961381938283994
4807,0.0295910652020259
6700,0.146237102096981
5749,0.0224179180203186
1681,0.0748273262556916
7711,0.0932090174757824
3705,0.104095148715154
3085,0.00864386946363261
9143,0.0689273472524991
5582,0.0887313509315097
4053,0.0263201148122732
9594,0.145942931565597
7246,0.0848902689012617
4954,0.0282858405494769
488,0.0639591429067867
2959,-0.0401973437774017
2599,0.0295789871419733
4429,0.058937882136963
5443,0.0100854240948823
7169,0.0787424097853728
6348,-0.0277462997236008
7298,-0.00333208113505288
7013,-0.00225700460950607
473,-0.0290188346789682
7479,0.0661252189050791
2642,0.086545269935071
620,0.0961381938283994
4807,0.0295910652020259
6700,0.146237102096981
5749,0.0224179180203186
1681,0.0748273262556916
7711,0.0932090174757824
3705,0.104095148715154
3085,0.00864386946363261
9143,0.0689273472524991
5582,0.0887313509315097
4053,0.0263201148122732
9594,0.145942931565597
7246,0.0848902689012617
4954,0.0282858405494769
2595,0.0657901014814388
944,0.0592231763520918
2213,0.0889990225400749
468,0.047479456940304
9594,0.145942931565597
7246,0.0848902689012617
4954,0.0282858405494769
2595,0.0657901014814388
944,0.0592231763520918
2213,0.0889990225400749
468,0.047479456940304
6550,0.123666789373722
3514,0.0235873613591344
5022,0.0721352447763472
231,0.0231737771980779
106,-0.00158567575797262
1050,0.060740857797284
237,0.123487266903499
415,0.0914992763951976
5022,0.0721352447763472
231,0.0231737771980779
106,-0.00158567575797262
1050,0.060740857797284
237,0.123487266903499
415,0.0914992763951976
8180,0.0772884624678538
9251,0.059064865845602
9147,0.0521321328023324
488,0.0639591429067867
2959,-0.0401973437774017
2599,0.0295789871419733
4429,0.058937882136963
5443,0.0100854240948823
7169,0.0787424097853728
106,-0.00158567575797262
1050,0.060740857797284
237,0.123487266903499
415,0.0914992763951976
8180,0.0772884624678538
9251,0.059064865845602
9147,0.0521321328023324
488,0.0639591429067867
2959,-0.0401973437774017
2599,0.0295789871419733
4429,0.058937882136963
5443,0.0100854240948823
7169,0.0787424097853728
6348,-0.0277462997236008
7298,-0.00333208113505288
2599,0.0295789871419733
4429,0.058937882136963
5443,0.0100854240948823
7169,0.0787424097853728
6348,-0.0277462997236008
7298,-0.00333208113505288
7013,-0.00225700460950607
473,-0.0290188346789682
7479,0.0661252189050791
2642,0.086545269935071
620,0.0961381938283994
4807,0.0295910652020259
6700,0.146237102096981
5749,0.0224179180203186
1681,0.0748273262556916
2642,0.086545269935071
620,0.0961381938283994
4807,0.0295910652020259
6700,0.146237102096981
5749,0.0224179180203186
1681,0.0748273262556916
7711,0.0932090174757824
3705,0.104095148715154
3085,0.00864386946363261
9143,0.0689273472524991
5582,0.0887313509315097
4053,0.0263201148122732
9594,0.145942931565597
7246,0.0848902689012617
4954,0.0282858405494769
415,0.0914992763951976
8180,0.0772884624678538
9251,0.059064865845602
9147,0.0521321328023324
488,0.0639591429067867
2959,-0.0401973437774017
2599,0.0295789871419733
4429,0.058937882136963
5443,0.0100854240948823
7169,0.0787424097853728
6348,-0.0277462997236008
7298,-0.00333208113505288
7013,-0.00225700460950607
473,-0.0290188346789682
7479,0.0661252189050791
4053,0.0263201148122732
9594,0.145942931565597
7246,0.0848902689012617
4954,0.0282858405494769
2595,0.0657901014814388
944,0.0592231763520918
2213,0.0889990225400749
468,0.047479456940304
6550,0.123666789373722
3514,0.0235873613591344
5022,0.0721352447763472
231,0.0231737771980779
106,-0.00158567575797262
1050,0.060740857797284
237,0.123487266903499
7298,-0.00333208113505288
7013,-0.00225700460950607
473,-0.0290188346789682
7479,0.0661252189050791
2642,0.086545269935071
620,0.0961381938283994
4807,0.0295910652020259
6700,0.146237102096981
5749,0.0224179180203186
1681,0.0748273262556916
7711,0.0932090174757824
3705,0.104095148715154
3085,0.00864386946363261
9143,0.0689273472524991
5582,0.0887313509315097
106,-0.00158567575797262
1050,0.060740857797284
237,0.123487266903499
415,0.0914992763951976
8180,0.0772884624678538
9251,0.059064865845602
9147,0.0521321328023324
4954,0.0282858405494769
2595,0.0657901014814388
944,0.0592231763520918
2213,0.0889990225400749
468,0.047479456940304
6550,0.123666789373722
3514,0.0235873613591344
237,0.123487266903499
415,0.0914992763951976
8180,0.0772884624678538
9251,0.059064865845602
9147,0.0521321328023324
488,0.0639591429067867
2959,-0.0401973437774017
1681,0.0748273262556916
7711,0.0932090174757824
3705,0.104095148715154
3085,0.00864386946363261
9143,0.0689273472524991
5582,0.0887313509315097
4053,0.0263201148122732
9594,0.145942931565597
7246,0.0848902689012617
4954,0.0282858405494769
2595,0.0657901014814388
944,0.0592231763520918
2213,0.0889990225400749
468,0.047479456940304
488,0.0639591429067867
2959,-0.0401973437774017
2599,0.0295789871419733
4429,0.058937882136963
5443,0.0100854240948823
7169,0.0787424097853728
6348,-0.0277462997236008
3705,0.104095148715154
3085,0.00864386946363261
9143,0.0689273472524991
5582,0.0887313509315097
4053,0.0263201148122732
9594,0.145942931565597
7246,0.0848902689012617
2642,0.086545269935071
620,0.0961381938283994
4807,0.0295910652020259
6700,0.146237102096981
5749,0.0224179180203186
1681,0.0748273262556916
7711,0.0932090174757824
106,-0.00158567575797262
1050,0.060740857797284
237,0.123487266903499
415,0.0914992763951976
8180,0.0772884624678538
9251,0.059064865845602
9147,0.0521321328023324
1681,0.0748273262556916
7711,0.0932090174757824
3705,0.104095148715154
3085,0.00864386946363261
9143,0.0689273472524991
5582,0.0887313509315097
4053,0.0263201148122732
473,-0.0290188346789682
7479,0.0661252189050791
2642,0.086545269935071
620,0.0961381938283994
4807,0.0295910652020259
6700,0.146237102096981
5749,0.0224179180203186
944,0.0592231763520918
2213,0.0889990225400749
468,0.047479456940304
6550,0.123666789373722
3514,0.0235873613591344
5022,0.0721352447763472
231,0.0231737771980779
944,0.0592231763520918
2213,0.0889990225400749
468,0.047479456940304
6550,0.123666789373722
3514,0.0235873613591344
5022,0.0721352447763472
231,0.0231737771980779
473,-0.0290188346789682
7479,0.0661252189050791
2642,0.086545269935071
620,0.0961381938283994
4807,0.0295910652020259
6700,0.146237102096981
5749,0.0224179180203186
6550,0.123666789373722
3514,0.0235873613591344
5022,0.0721352447763472
231,0.0231737771980779
106,-0.00158567575797262
1050,0.060740857797284
237,0.123487266903499
9594,0.145942931565597
7246,0.0848902689012617
4954,0.0282858405494769
2595,0.0657901014814388
944,0.0592231763520918
2213,0.0889990225400749
468,0.047479456940304
