Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Trial 21,Trial 22,Trial 23,Trial 24,Trial 25,Trial 26,Trial 27,Trial 28,Trial 29,Trial 30,Trial 31,Trial 32,Trial 33,Trial 34,Trial 35,Trial 36,Trial 37,Trial 38,Trial 39,Trial 40,Trial 41,Trial 42,Trial 43,Trial 44,Trial 45,Trial 46,Trial 47,Trial 48,Trial 49,Trial 50,Trial 51,Trial 52,Trial 53,Trial 54,Trial 55,Trial 56,Trial 57,Trial 58,Trial 59,Trial 60,Trial 61,Trial 62,Trial 63,Trial 64,Trial 65,Trial 66,Trial 67,Trial 68,Trial 69,Trial 70,Trial 71,Trial 72,Trial 73,Trial 74,Trial 75,Trial 76,Trial 77,Trial 78,Trial 79,Trial 80,Trial 81,Trial 82,Trial 83,Trial 84,Trial 85,Trial 86,Trial 87,Trial 88,Trial 89,Trial 90,Trial 91,Trial 92,Trial 93,Trial 94,Trial 95,Trial 96,Trial 97,Trial 98,Trial 99,Trial 100,Trial 101,Trial 102,Trial 103,Trial 104,Trial 105,Trial 106,Trial 107,Trial 108,Trial 109,Trial 110,Trial 111,Trial 112,Trial 113,Trial 114,Trial 115,Average ERP Waveform,95% CI Lower Bound,95% CI Upper Bound,Standard Error
-3.40741849,1.03760111,-1.82883835,-2.71040964,-0.24281879,-4.80843163,-1.88284767,1.56595528,-4.23222923,-4.22782421,-6.66705465,5.06007719,4.94457388,-3.44528556,-9.86855793,6.11314249,-25.26124954,-3.19458437,-0.80949646,-2.26296234,-7.1574111,-2.46807647,0.75617993,-1.21190619,-3.0878644,-5.01228905,-2.36772776,-0.79716027,-9.36497688,1.23702872,1.35107231,1.34440255,-2.24999332,-0.21724054,-2.09957433,8.98932552,-0.98744589,-1.27992725,8.16349983,-4.42856216,-2.09240127,1.90970719,4.17464495,1.5439688,-3.76712322,7.8235693,-4.66400242,3.66476464,-0.85849315,-15.93595791,0.16654339,-11.02402592,-4.56435204,3.50962853,-3.84448385,-1.56002617,6.88416481,-1.19859743,0.8243416,-1.59119892,3.68319893,-8.13954067,3.74746585,-1.71441388,-6.12095642,5.40922832,1.24764955,-29.22707748,-18.06429482,1.28856528,1.02468085,-4.79242325,4.9798975,-3.26215911,-0.27703136,-1.06300509,-1.55574524,0.34473151,0.64029258,-4.49334717,1.30052376,1.91355658,0.21463551,3.77929497,-0.29347906,3.2643404,4.40879679,-0.26919058,-2.9036777,8.13101673,8.50865078,6.48932219,2.69496942,3.79484296,3.83273721,8.90742016,1.79702234,-1.43458402,-0.90127546,-3.72745943,3.857234,0.50082821,-0.58899492,8.77860069,-10.65380955,0.91935474,0.91108459,16.23414612,-3.06172371,1.12041104,-0.64499277,5.39061737,2.58474302,-12.78760433,0.0028469,-0.799049686260869,-17.26616847875,8.85911285875,0.578465099184405
-3.10518003,1.2029835,-1.82830811,-2.44191217,-0.7011928,-4.55657196,-1.41934669,2.14951134,-4.25049877,-4.80794907,-6.19721842,5.62933922,5.15881586,-4.1097002,-9.29990196,5.80564547,-24.95890808,-3.55139184,-0.62909657,-2.41835809,-7.35238647,-1.38977885,1.1914562,-1.10243464,-2.95120931,-5.16346216,-1.63564551,-1.08058453,-12.13847065,1.35115469,1.05013132,1.26819253,-2.32910872,0.48777145,-1.67499804,10.75812531,-1.15764821,1.09254324,8.16638184,-3.7000196,-2.67775035,1.52016282,4.22711039,1.49779189,-4.36183071,6.5643487,-4.12277555,3.9317739,-0.31637931,-15.48892403,0.31824991,-9.58784389,-4.0580678,3.54293251,-3.82398009,-0.84824204,6.9343133,-1.64931154,1.6054132,-2.04910421,5.10145712,-8.40727806,3.81039929,-1.30780518,-5.67514086,6.08340788,1.30688298,-20.20453453,-16.77668953,1.43828487,1.33120227,-4.51665163,4.8432889,-2.25866699,-0.03853683,-1.49318743,-1.85833776,1.86152995,0.86665845,-4.46060228,0.29466805,2.40215182,0.64998013,3.25135183,-0.51343638,2.89942813,4.48912239,-0.05764715,-2.55723071,7.68780899,7.88913822,5.83580542,2.43262172,4.9229846,3.96983647,7.76675653,1.39222121,-1.69692326,-0.2938464,-3.7123189,4.59097338,1.62801814,-0.60350674,7.86088848,-11.89929295,0.92326242,1.21232736,13.51654148,-3.84988403,1.25951207,-0.29687116,4.72145844,2.61879683,-10.0895071,0.69302863,-0.613021250347826,-16.2937774675,8.0624154825,0.537383666692038
-2.73600125,1.27234232,-1.71744919,-2.14743662,-1.11064529,-4.26852417,-0.96202749,2.60064888,-4.13121891,-5.30754662,-5.53661108,6.00083303,5.18714905,-4.62701464,-8.55362606,5.22224474,-23.86237526,-3.79710937,-0.44742993,-2.51182771,-7.42436028,-0.34156817,1.60493243,-0.95552564,-2.67116737,-5.15821457,-0.87105644,-1.34357238,-14.67851448,1.40301263,0.69964278,1.24063098,-2.3246603,1.14375579,-1.21477652,12.34938908,-1.21629739,3.48987269,7.97612858,-2.89877462,-3.10620999,1.12669611,4.20453501,1.48676622,-4.8612318,5.16153908,-3.44741917,4.11733294,0.12771688,-14.60342121,0.48609433,-7.92738295,-3.37232566,3.47159004,-3.74537945,-0.11443741,6.83164406,-2.01621985,2.32261872,-2.38179421,6.33115435,-8.35769939,3.74200034,-0.83920044,-5.18349361,6.54820061,1.27989233,-11.28809357,-15.07062912,1.56148517,1.58986175,-4.11648178,4.63823795,-1.29206514,0.1789328,-1.8632381,-2.09880328,3.46804476,1.14513326,-4.34255695,-0.76451206,2.81100535,1.05844104,2.58466434,-0.64188129,2.49135733,4.39842939,0.13135549,-2.04738808,7.31457281,6.99730492,4.98982859,2.26958179,5.96410131,3.98251081,6.44418001,0.96921092,-1.88897443,0.29526827,-3.62122869,5.21873569,2.66644931,-0.58643311,6.77269888,-12.96230221,0.87436563,1.60145891,10.49418831,-4.54968262,1.33735859,0.01118855,3.95252037,2.53896666,-7.21719217,1.45205045,-0.412966574608695,-14.65035450375,7.72804516625,0.50230588274926
-2.32236981,1.24565852,-1.50343704,-1.83380377,-1.45563507,-3.94955993,-0.52809805,2.91840649,-3.89097881,-5.70085907,-4.69535685,6.15403557,5.02186251,-4.99005747,-7.66328764,4.37444639,-21.96889114,-3.93367243,-0.27062181,-2.53357863,-7.36687756,0.6762715,1.98348725,-0.77450174,-2.26648879,-5.00570917,-0.08271109,-1.55458093,-16.89861298,1.39054036,0.31699964,1.2616092,-2.23692775,1.70880914,-0.7347188,13.72959232,-1.16838503,5.84291792,7.60553646,-2.06158876,-3.35814643,0.74212652,4.10737658,1.50649416,-5.22416592,3.67432427,-2.64770985,4.22002077,0.44742158,-13.30475426,0.66521168,-6.08780098,-2.53030658,3.28546286,-3.61035872,0.59673572,6.58040953,-2.28610516,2.95448947,-2.54990935,7.33487415,-7.9719677,3.54384804,-0.34430262,-4.65209961,6.79032373,1.1575104,-2.66638494,-13.0165453,1.64870453,1.77343631,-3.61146283,4.37754345,-0.41173571,0.3688691,-2.15198135,-2.28752685,5.11846447,1.45517468,-4.14131498,-1.8423785,3.1056869,1.44215584,1.7990495,-0.6701296,2.04864383,4.14224386,0.29139224,-1.38943779,7.00025892,5.86360264,4.00543499,2.21737623,6.88222504,3.87971568,5.01158333,0.52994233,-2.00785327,0.86193436,-3.45359921,5.71223879,3.57909393,-0.53452295,5.49145985,-13.80420208,0.77760726,2.05108881,7.2487936,-5.15249443,1.3547498,0.27335933,3.0977211,2.35760832,-4.27580881,2.24725842,-0.204566049826087,-13.6169091475,7.30259394375,0.475712904028158
-1.8886807,1.1268574,-1.19797516,-1.50705206,-1.7246418,-3.60434318,-0.13345617,3.10754776,-3.55080318,-5.9658041,-3.69078398,6.07657385,4.66377401,-5.19823456,-6.6666894,3.28764439,-19.30714607,-3.96740389,-0.1035519,-2.47630215,-7.17659616,1.66303778,2.31598115,-0.56438118,-1.7617209,-4.72186613,0.71948683,-1.68504941,-18.72081757,1.31444502,-0.07889744,1.3271929,-2.06928515,2.14679933,-0.25060806,14.87066746,-1.02494466,8.08102798,7.07170391,-1.22577941,-3.42297053,0.37834233,3.93728089,1.55013418,-5.41286945,2.16184115,-1.73975539,4.24006033,0.62476379,-11.6322813,0.84926856,-4.11972666,-1.56279755,2.97895885,-3.42249227,1.24188817,6.1895256,-2.44977522,3.48281169,-2.52319336,8.08410835,-7.24549961,3.2239902,0.14016533,-4.08638716,6.80457926,0.93536913,5.49313307,-10.69622707,1.69116914,1.85911345,-3.02594304,4.07388783,0.33866069,0.52531886,-2.34175849,-2.43678045,6.76178885,1.77394795,-3.85983777,-2.9019258,3.25589895,1.80401587,0.91936409,-0.59495789,1.57898271,3.73336673,0.41736665,-0.60462677,6.72994757,4.52882576,2.94128537,2.278795,7.64306164,3.67393708,3.54211926,0.07516412,-2.05308008,1.40347981,-3.20897198,6.04795265,4.33466482,-0.44649628,4.00062799,-14.39119244,0.64090949,2.52897501,3.86642528,-5.65196228,1.31628048,0.48643306,2.17461205,2.09083128,-1.37060022,3.04293942,0.00612335765217361,-13.3566007625,7.9167906025,0.459474751542508
-1.45990109,0.92338526,-0.81671906,-1.17240775,-1.91055107,-3.23690391,0.20793062,3.17783642,-3.1347065,-6.08515263,-2.54703093,5.76502132,4.12244511,-5.25719738,-5.60423946,2.00029993,-15.93728352,-3.908252,0.05026408,-2.33581257,-6.85340548,2.6171279,2.59348321,-0.33173254,-1.18587196,-4.32834053,1.52461445,-1.71138215,-20.07878876,1.17798901,-0.46858591,1.42963982,-1.82822251,2.4296031,0.22235411,15.75025558,-0.80235738,10.13441563,6.3952508,-0.42737412,-3.29960322,0.04590005,3.69704723,1.60882819,-5.39542103,0.6809507,-0.74568343,4.17908812,0.6513707,-9.63792038,1.03092098,-2.07744884,-0.50685859,2.55173588,-3.1873548,1.78145576,5.67208433,-2.50244451,3.89326644,-2.28249621,8.56043816,-6.18885565,2.79661751,0.57876182,-3.49086356,6.5939002,0.61457229,13.04787254,-8.19906998,1.68134618,1.82992089,-2.38775182,3.73925114,0.92332155,0.64316279,-2.41928339,-2.5595758,8.3436985,2.07788825,-3.50193024,-3.90520239,3.23742533,2.1473763,-0.02544261,-0.41872799,1.08947504,3.19116449,0.50574476,0.28008693,6.48621845,3.0422821,1.85748458,2.44760323,8.21545506,3.38018203,2.10619164,-0.39525741,-2.02655363,1.91860414,-2.88721657,6.20819092,4.90889978,-0.3232508,2.29211402,-14.69601917,0.47470555,2.99992323,0.43436021,-6.04390335,1.22984898,0.64972502,1.2035619,1.75750685,1.39747763,3.80194592,0.212891444,-12.79923212375,9.54417407875,0.454390000525926
-1.06024289,0.64571726,-0.37849045,-0.83432639,-2.01079369,-2.85066199,0.48459154,3.14309883,-2.66814804,-6.04749966,-1.29434252,5.22530651,3.41596127,-5.17822266,-4.51718092,0.56239808,-11.94949245,-3.76886535,0.18868706,-2.11155128,-6.40044928,3.53564548,2.80937028,-0.08442788,-0.57087046,-3.85118914,2.32086396,-1.61663675,-20.92040443,0.98667467,-0.83301985,1.55764556,-1.5232296,2.53885674,0.67004937,16.35173988,-0.52136803,11.93659878,5.59948111,0.30065814,-2.99641085,-0.2463191,3.3906157,1.67224216,-5.14796734,-0.71578228,0.30702075,4.03992176,0.52910846,-7.38418198,1.20233858,-0.01698855,0.595815,2.00916123,-2.91249394,2.18207002,5.04470587,-2.44393563,4.17591524,-1.82118237,8.7562561,-4.82790852,2.28137994,0.93955851,-2.86898327,6.16906881,0.20206946,19.8825264,-5.61803198,1.6134733,1.67581773,-1.72667599,3.38442421,1.31605053,0.71838206,-2.37629771,-2.66850305,9.80869007,2.34428024,-3.07228589,-4.81483316,3.03381395,2.47573876,-1.00345647,-0.14922656,0.5869332,2.54056048,0.55473024,1.23253632,6.25063992,1.45956802,0.81240255,2.70880699,8.57278633,3.0149219,0.7677204,-0.88189477,-1.93243921,2.40718532,-2.4888556,6.18195963,5.28550196,-0.16793732,0.36834627,-14.69940281,0.29132542,3.42787123,-2.96193719,-6.32618713,1.10597432,0.76486021,0.20680435,1.37820387,3.93592215,4.48741627,0.409610733304348,-10.23750102375,11.13863301375,0.4599401457126
-0.71183127,0.30672416,0.09566116,-0.49661121,-2.02725029,-2.44855475,0.68800646,3.02013206,-2.17649555,-5.84797192,0.03193182,4.47271061,2.5702765,-4.97734022,-3.4457767,-0.96675789,-7.46117496,-3.56356692,0.31085941,-1.80692506,-5.82405186,4.41412354,2.95930743,0.16868778,0.05009508,-3.31930757,3.09567928,-1.39181471,-21.20986748,0.74784726,-1.15452766,1.69682622,-1.16653991,2.46710753,1.07988071,16.66410065,-0.20586531,13.42682266,4.70952511,0.9300018,-2.53061223,-0.49138835,3.02308202,1.72918212,-4.65660858,-1.9818331,1.38651454,3.82633948,0.27012256,-4.94180822,1.35575819,2.00587773,1.70075655,1.3624897,-2.60726333,2.41859484,4.3267765,-2.27869034,4.32550526,-1.14585447,8.67496204,-3.20325232,1.70238101,1.19616604,-2.22314954,5.54811192,-0.28932166,25.9101696,-3.04550481,1.48402905,1.39437449,-1.0728302,3.01863599,1.50152695,0.74830085,-2.20999765,-2.77462769,11.10239315,2.55275631,-2.57657409,-5.59557819,2.63768744,2.79241276,-1.9810586,0.20076951,0.07822886,1.81077337,0.56436616,2.21612048,6.00528097,-0.15996265,-0.14033902,3.03945756,8.69425583,2.59505868,-0.41911036,-1.38521767,-1.77697504,2.86999822,-2.01549482,5.96551275,5.45669127,0.01410206,-1.75618494,-14.39114285,0.10426792,3.77804565,-6.24158716,-6.49860382,0.95695132,0.83543783,-0.79258722,0.97408623,6.1644187,5.06453419,0.590471145391304,-7.1002107825,12.55516159375,0.474451455385702
-0.43351859,-0.07897224,0.58346558,-0.1626192,-1.9659214,-2.03320098,0.81294733,2.82753849,-1.68356884,-5.48863792,1.39259028,3.53143072,1.6181494,-4.67426538,-2.42752862,-2.52130151,-2.61281681,-3.30730009,0.4170129,-1.42944455,-5.13355303,5.24637032,3.04112315,0.41819605,0.64427662,-2.76271486,3.83589935,-1.03667235,-20.92918205,0.47024646,-1.41769624,1.83041465,-0.77273333,2.21829605,1.44113231,16.68164444,0.11850525,14.55236721,3.75148916,1.4383384,-1.92720413,-0.68453795,2.60072374,1.76826513,-3.91881943,-3.07812452,2.45787954,3.54289293,-0.10374485,-2.3871212,1.48402894,3.93755555,2.76273584,0.62873763,-2.28251433,2.47571397,3.53959846,-2.01559281,4.34158802,-0.27634233,8.33065605,-1.36883986,1.08690476,1.32942796,-1.55486405,4.75542116,-0.84125227,31.07212639,-0.56930518,1.29212189,0.99100888,-0.4550119,2.64931917,1.47603595,0.73178262,-1.92321038,-2.88652182,12.17394733,2.686625,-2.0215621,-6.21585655,2.05160165,3.1001792,-2.92426658,0.61417967,-0.4293718,1.03387594,0.53655607,3.19085503,5.73413754,-1.75589097,-0.95456111,3.40995646,8.56596565,2.13699031,-1.41245413,-1.90499938,-1.56819916,3.30834222,-1.47030866,5.56260204,5.42334318,0.21553643,-4.05402374,-13.77081585,-0.0726091,4.01906872,-9.33071518,-6.5627594,0.79593486,0.8666268,-1.77175701,0.56588691,8.01799488,5.50220966,0.750204943739131,-8.2927317625,13.660459755,0.49557287884036
-0.23986167,-0.49573174,1.06254959,0.1645216,-1.83640099,-1.60710323,0.8576842,2.5845499,-1.21036518,-4.97859097,2.74603224,2.43373466,0.59771156,-4.29120207,-1.49553394,-4.03197145,2.43727326,-3.01461172,0.50820535,-0.9906342,-4.34106684,6.02444649,3.05460525,0.654558,1.18100977,-2.21078897,4.52790308,-0.56000143,-20.0789547,0.16353692,-1.61014676,1.94014585,-0.35821104,1.80754733,1.74524319,16.4036274,0.42582181,15.27064323,2.75164938,1.8103683,-1.21747684,-0.82327175,2.13102317,1.77859402,-2.944314,-3.97406936,3.48462486,3.19476438,-0.56214058,0.20079885,1.5811187,5.72845078,3.73781085,-0.16975614,-1.95016468,2.34897041,2.70549273,-1.66760123,4.22844315,0.75504512,7.74731445,0.61008793,0.46394366,1.32868159,-0.86500591,3.82063937,-1.4305371,35.33669281,1.7310226,1.0397712,0.47877225,0.10084922,2.28201079,1.24762499,0.66938365,-1.52431262,-3.00949168,12.97833061,2.73394513,-1.41524732,-6.64916849,1.28838909,3.40096831,-3.80009747,1.07051373,-0.92792296,0.2432372,0.47499272,4.11468363,5.42437553,-3.26945758,-1.59376144,3.78579092,8.18177795,1.65581465,-2.18461275,-2.43972182,-1.3156147,3.72361112,-0.85853434,4.98439884,5.19471216,0.42738375,-6.48457098,-12.84804821,-0.22592083,4.12488842,-12.16440582,-6.5219593,0.63599414,0.86470228,-2.70907021,0.17294641,9.44946766,5.77459812,0.884290341304348,-10.09619182125,14.4110259975,0.520782779297901
-0.14034384,-0.92757452,1.51148987,0.48166028,-1.65117645,-1.17286861,0.82401758,2.3099165,-0.77401531,-4.3336916,4.04985142,1.21872675,-0.44925931,-3.85158396,-0.6770522,-5.42952681,7.51914501,-2.69874263,0.5860042,-0.50572133,-3.461169,6.73878288,3.00123811,0.86858755,1.63321662,-1.69056928,5.15776968,0.02064442,-18.67848396,-0.16215992,-1.72316492,2.00729132,0.05943781,1.2602731,1.98599207,15.83384705,0.69137472,15.55099106,1.73571694,2.03846312,-0.43721378,-0.90739751,1.62267792,1.75040197,-1.75529099,-4.64823675,4.43033791,2.78765941,-1.06792951,2.74298835,1.64254498,7.33459377,4.58532858,-1.00607061,-1.62264991,2.04518843,1.84690785,-1.25120866,3.99481845,1.90497804,6.95750523,2.65971041,-0.13738923,1.19250131,-0.15422679,2.77737379,-2.03018355,38.69691849,3.78740764,0.73204571,-0.12230867,0.57305837,1.92038155,0.83568114,0.56342781,-1.02689838,-3.14505434,13.4785223,2.68828249,-0.76697844,-6.87535,0.37096304,3.69556713,-4.57788563,1.54693305,-1.40861285,-0.52806097,0.38499871,4.94501877,5.06731319,-4.6461854,-2.03278279,4.12960339,7.54386711,1.16472936,-2.72297359,-2.98602509,-1.02979863,4.11682701,-0.18792631,4.24909639,4.78777075,0.63947064,-8.99469471,-11.64230633,-0.34356943,4.07642746,-14.68817902,-6.38111305,0.48918551,0.83656508,-3.58497047,-0.18757682,10.43100071,5.86243916,0.989124387478261,-10.6494519725,14.773815275,0.547718960731116
-0.13887137,-1.35887563,1.9108429,0.78541696,-1.42481613,-0.73341924,0.71719271,2.02090931,-0.38703907,-3.57597733,5.26249361,-0.06921532,-1.47928333,-3.378829,0.00763893,-6.6482296,12.45802784,-2.37087274,0.65214437,0.00690224,-2.51052666,7.37842846,2.8839066,1.05192339,1.97869563,-1.22521293,5.71146727,0.67976576,-16.76512718,-0.49670011,-1.7521435,2.01378107,0.46215835,0.61064368,2.15958595,14.98022652,0.89308774,15.37609863,0.72818059,2.12290335,0.37532172,-0.93896389,1.08557856,1.67563891,-0.38602167,-5.08863449,5.26039267,2.32774949,-1.57938981,5.16342735,1.66570055,8.71900368,5.26977968,-1.84971654,-1.31229675,1.58224463,0.98556989,-0.78575063,3.65349197,3.12119722,6.00071096,4.70084143,-0.68946993,0.92887795,0.57657194,1.66179645,-2.61069608,41.1676178,5.54580879,0.3770529,-0.78629071,0.94525933,1.56639385,0.26994777,0.4180046,-0.44920322,-3.29069257,13.64738083,2.54910398,-0.08753686,-6.88159275,-0.66842669,3.98337889,-5.23050833,2.01941967,-1.86171091,-1.2487576,0.27327546,5.64046717,4.65907383,-5.83827019,-2.25883269,4.40348434,6.66297436,0.67464423,-3.03003836,-3.5382576,-0.72197312,4.48817396,0.53088546,3.38119936,4.22619104,0.84098619,-11.52011967,-10.18226624,-0.41549078,3.862854,-16.85891342,-6.14665604,0.36574191,0.78925711,-4.38274193,-0.5013929,10.95480442,5.75404835,1.06215647826087,-11.01842463375,14.48040938625,0.574311308902423
-0.23357123,-1.77496755,2.24406433,1.07195795,-1.17305756,-0.29218468,0.5456267,1.73251069,-0.05692947,-2.73276806,6.34490585,-1.38226676,-2.44924474,-2.89515758,0.54603434,-7.6292038,17.08148384,-2.03957558,0.70818824,0.52641487,-1.50748718,7.93141842,2.70659328,1.1974715,2.20113397,-0.83269042,6.17506886,1.38523173,-14.39297867,-0.83030272,-1.69682491,1.94336319,0.83220595,-0.10047823,2.26466084,13.85444355,1.0127883,14.74296951,-0.24825498,2.07170558,1.18148327,-0.92211348,0.53073913,1.54845822,1.11821914,-5.29262304,5.94361925,1.82165313,-2.05274677,7.39167786,1.650056,9.85273552,5.76242018,-2.66788292,-1.03065383,0.98819304,0.14171579,-0.29258618,3.22068453,4.34513044,4.92134047,6.65250158,-1.16770613,0.55481589,1.32571435,0.51119602,-3.14159966,42.78186035,6.96801615,-0.01423556,-1.48271465,1.20721281,1.2205689,-0.41097206,0.23890071,0.18667696,-3.43990541,13.46913719,2.32179356,0.61083263,-6.66317749,-1.78945649,4.26224327,-5.7354641,2.46399164,-2.27664399,-1.89082539,0.14757589,6.16266203,4.20086384,-6.80660295,-2.27181077,4.57134914,5.55831671,0.19402122,-3.12256026,-4.08816814,-0.40355808,4.83655262,1.28417921,2.41053963,3.53903437,1.02110088,-13.98756313,-8.50475121,-0.43428913,3.48238707,-18.6452446,-5.82644844,0.27337092,0.72952276,-5.08901787,-0.75751549,11.03288746,5.44601536,1.10197762817391,-11.93150866,14.409772275,0.59879369287813
-0.41692847,-2.16268587,2.49825287,1.3368963,-0.91187853,0.14676681,0.32051188,1.45679581,0.21392071,-1.83549607,7.26209831,-2.67116284,-3.31847548,-2.42055202,0.9338001,-8.32349205,21.22657013,-1.71050477,0.75521678,1.03047371,-0.47163126,8.38524532,2.4740963,1.2997936,2.29079843,-0.52481234,6.53500891,2.10002255,-11.63091278,-1.15386558,-1.56132329,1.78272796,1.15293944,-0.828022,2.30219436,12.47160721,1.03725719,13.66339111,-1.17312467,1.90004039,1.94430089,-0.86285412,-0.02983221,1.36558342,2.70284247,-5.26648951,6.45384932,1.27645338,-2.44491339,9.36524773,1.59722388,10.71559429,6.0425787,-3.42685986,-0.78782034,0.29978406,-0.66655409,0.20581144,2.71534061,5.51489592,3.76653671,8.43567467,-1.55191886,0.09536167,2.09022212,-0.63744867,-3.59309912,43.5871582,8.03262234,-0.42831641,-2.17826366,1.35519969,0.88233578,-1.16155612,0.03343843,0.85574657,-3.58255935,12.94041443,2.01728225,1.31447673,-6.2238822,-2.94545531,4.52833462,-6.07573843,2.85790491,-2.64221692,-2.43069339,0.01631048,6.47812986,3.69887352,-7.52234793,-2.08394551,4.60126925,4.25716543,-0.27106571,-3.02985907,-4.62476969,-0.08572005,5.15920687,2.05511713,1.37105405,2.75922203,1.16961622,-16.31752396,-6.65330601,-0.39572969,2.94259977,-20.02744675,-5.42967796,0.21676271,0.66343123,-5.69408226,-0.94854027,10.69588184,4.94347477,1.10836001504348,-10.39063000625,13.392274855,0.619672742510396
-0.676202,-2.5108304,2.66470337,1.57520044,-0.65659708,0.57866496,0.05527408,1.20256913,0.42795861,-0.91831505,7.98455,-3.88729739,-4.05075026,-1.97189522,1.17475235,-8.69464493,24.74666405,-1.38632488,0.79357594,1.49626422,0.57668978,8.72741222,2.19178391,1.35541403,2.24488115,-0.3066408,6.77839327,2.78430033,-8.56008148,-1.45920146,-1.35392821,1.52253139,1.40959942,-1.52545166,2.27533579,10.85003567,0.95900452,12.16386604,-2.02855086,1.62927508,2.63037992,-0.7687571,-0.58334059,1.1265384,4.30618525,-5.02472115,6.77124214,0.69973093,-2.71627736,11.03159523,1.51088095,11.29647064,6.09859276,-4.09356976,-0.59181404,-0.43954688,-1.42379022,0.68681115,2.15832114,6.5685339,2.58389235,9.97704983,-1.82748306,-0.41787505,2.86532879,-1.74881864,-3.93777657,43.64162827,8.73513317,-0.84963775,-2.83857512,1.3920325,0.55043179,-1.93164778,-0.18975484,1.53120482,-3.70551586,12.07070351,1.6513294,2.00848484,-5.57603073,-4.08551645,4.77614403,-6.24044323,3.18077564,-2.94699359,-2.85022068,-0.11189837,6.5600934,3.16379547,-7.96798658,-1.71876335,4.46761703,2.794101,-0.71667075,-2.79143405,-5.13441992,0.22106089,5.45144415,2.82393169,0.29937822,1.92186093,1.27760518,-18.42759705,-4.67649651,-0.29904762,2.26019335,-20.99687958,-4.96673203,0.19728868,0.59607893,-6.19193459,-1.07071352,9.9910593,4.26002598,1.0822457673913,-8.64418363625,12.12893009125,0.635699702949839
-0.99418753,-2.81050158,2.739254,1.78122461,-0.4210262,0.99802226,-0.23505682,0.97522837,0.59190953,-0.0165702,8.4893856,-4.98480129,-4.61608839,-1.56233263,1.28041375,-8.72068214,27.51764107,-1.06688786,0.8227002,1.90163112,1.61683106,8.94604969,1.86540139,1.36302507,2.06747866,-0.17631499,6.89335394,3.39769316,-5.27096367,-1.73919511,-1.08669627,1.15825641,1.59002209,-2.14760995,2.18916702,9.01111126,0.77672398,10.28499794,-2.79948759,1.28569293,3.21153522,-0.64859438,-1.11648846,0.8337366,5.86218786,-4.58902454,6.88332748,0.09960512,-2.83337545,12.34968662,1.39655769,11.59331894,5.92833042,-4.63713121,-0.4480187,-1.18211818,-2.11754227,1.12859154,1.57153738,7.44728756,1.41919267,11.21255589,-1.98616147,-0.94862777,3.64408088,-2.79046869,-4.15221834,43.01028824,9.08724976,-1.26122296,-3.43011069,1.32667863,0.22332893,-2.66897893,-0.4210467,2.18562007,-3.79349709,10.88227081,1.24349391,2.67694426,-4.74017763,-5.15688801,4.99855328,-6.22519159,3.41556954,-3.17980933,-3.13738346,-0.22868347,6.39011431,2.61000824,-8.13778877,-1.20946634,4.1528964,1.2099719,-1.14055085,-2.45402145,-5.60111046,0.50738478,5.70648813,3.56835508,-0.76668477,1.06252193,1.33800125,-20.23615646,-2.62599587,-0.14706531,1.46025026,-21.55502319,-4.4490242,0.2129461,0.53137404,-6.58013344,-1.12380648,8.97957897,3.41721082,1.02568571730435,-8.50209712625,12.06604874,0.645862960686946
-1.35015607,-3.05533648,2.72236633,1.94883478,-0.21675487,1.39873707,-0.53456014,0.77686697,0.71594346,0.83482683,8.76127529,-5.92251825,-4.99227238,-1.20087731,1.2691642,-8.39533901,29.44310379,-0.74963486,0.84102958,2.22623372,2.62832189,9.03055,1.50094092,1.32357633,1.76922464,-0.12531166,6.86945772,3.90166068,-1.86008799,-1.98787689,-0.77484709,0.69084895,1.68525577,-2.65349078,2.05040145,6.97922134,0.49540547,8.08033848,-3.47386622,0.89895743,3.66606998,-0.51192921,-1.61582804,0.49242064,7.30339861,-3.98714709,6.78569126,-0.51523405,-2.77129436,13.29107857,1.26129985,11.61277485,5.53926659,-5.0303812,-0.35875371,-1.87873399,-2.73853707,1.51107931,0.97706628,8.09875965,0.31429586,12.09051037,-2.02657342,-1.45819521,4.41705942,-3.73386025,-4.21848106,41.76173019,9.11536217,-1.64540386,-3.92197871,1.17352307,-0.10034472,-3.32181358,-0.65015411,2.79213095,-3.83013844,9.40947056,0.81586689,3.30330777,-3.74442863,-6.10752583,5.18701172,-6.03219128,3.54940295,-3.33036804,-3.28664494,-0.32639933,5.95947456,2.05447817,-8.03769398,-0.59681684,3.64915323,-0.44940495,-1.54162478,-2.06829095,-6.00697422,0.76527584,5.91548586,4.26428127,-1.78975272,0.2155588,1.34609854,-21.66621399,-0.5545727,0.05389818,0.57500309,-21.71224594,-3.88878441,0.25850886,0.47193721,-6.85940361,-1.11083269,7.73315573,2.4436543,0.941732194173913,-8.26122212375,12.840865495,0.64940443989198
